Subtype,Frequency
2 B-cun,50
3 B-cun,46
1.5 B-cun,39
1 B-cun,37
0.5 B-cun,30
4 B-cun,28
5 B-cun,17
6 B-cun,12
0.1 f-cun,11
7 B-cun,6
2.5 B-cun,3
5.5 B-cun,2
1.3 B-cun,2
upper one third,2
lower two thirds,2
one fingerbreadth,2
8 B-cun,2
0.1 B-cun,1
one rib,1
lateral one third,1
medial two thirds,1
between,1
3.5 B-cun,1
4.3 B-cun,1
0.4 f-cun,1
4.5 B-cun,1
B-cun,1
9 B-cun,1
