Acupoint_Code,Relation,Action_Target,,,,,,,,,,,,,,,,,,,,,,,
LI11,regulates,Blood,,,,,,,,,,,,,,,,,,,,,,,
LI11,benefits,Sinews,,,,,,,,,,,,,,,,,,,,,,,
LI11,benefits,Joints,,,,,,,,,,,,,,,,,,,,,,,
LI12,courses,Channels,,,,,,,,,,,,,,,,,,,,,,,
LI12,quickens,Connecting Vessels,,,,,,,,,,,,,,,,,,,,,,,
LI12,disinhibits,Joints,,,,,,,,,,,,,,,,,,,,,,,
LI13,courses,Channels,,,,,,,,,,,,,,,,,,,,,,,
LI13,quickens,Connecting Vessels,,,,,,,,,,,,,,,,,,,,,,,
LI13,disinhibits,Joints,,,,,,,,,,,,,,,,,,,,,,,
LI14,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,
LI14,brightens,Eyes,,,,,,,,,,,,,,,,,,,,,,,
LI14,resolves,Phlegm,,,,,,,,,,,,,,,,,,,,,,,
LI14,disperses,Masses,,,,,,,,,,,,,,,,,,,,,,,
LI15,benefits,Sinews,,,,,,,,,,,,,,,,,,,,,,,
LI15,promotes,Qi Circulation In Channels,,,,,,,,,,,,,,,,,,,,,,,
LI15,stops,Pain,,,,,,,,,,,,,,,,,,,,,,,
LI15,expels,Wind,,,,,,,,,,,,,,,,,,,,,,,
LI16,moves,Blood,,,,,,,,,,,,,,,,,,,,,,,
LI16,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,
LI16,opens,Chest,,,,,,,,,,,,,,,,,,,,,,,
LI16,subdues,Ascending Rebellious Qi,,,,,,,,,,,,,,,,,,,,,,,
LI16,stimulates,Lung Qi Descending,,,,,,,,,,,,,,,,,,,,,,,
LI16,benefits,Joints,,,,,,,,,,,,,,,,,,,,,,,
LI17,disinhibits,Throat,,,,,,,,,,,,,,,,,,,,,,,
LI17,clears,Lung Qi,,,,,,,,,,,,,,,,,,,,,,,
LI18,benefits,Throat,,,,,,,,,,,,,,,,,,,,,,,
LI18,relieves,Cough,,,,,,,,,,,,,,,,,,,,,,,
LI18,resolves,Phlegm,,,,,,,,,,,,,,,,,,,,,,,
LI18,disperses,Masses,,,,,,,,,,,,,,,,,,,,,,,
